PotLabel,Line,OtherNamesonRecord,DatePlanted,StandCount,StandCountCleaned,DateTaken,NumInfected,DateObserved,Replant,Year,Row,DateReplanted,StandCount1,StandCount2,StandCount3,DateReplantTaken,ReplantInfected1,ReplantInfected2,ReplantInfected3,ReplantDateObserved,SusceptibilityRating03,BadStand,Remove,SCMVTests,GenoName,GBSDataSource,EndospermType,Region,Program,2019Planting,20142015Planting,UninfectedFirstRound,PercentInfectedFirstRound,PercentUninfectedFirstRound,SusceptibilityRating02,PercentInfectedAllRounds,SusceptibilityRating05
232,P14,,2019-02-28,7 (1 small),7,2019-03-15,3,2019-03-26,n,14,32569,,,,,,,,,,2,Fine,Keep,TRUE,P14,WiDivMerged,su1,Mdw,IN,TRUE,TRUE,4,42.85714286,57.14285714,1,42.85714286,3
248,C8 white,,2019-02-28,7 (1 small),7,2019-03-15,3,2019-03-26,n,13,4004,,,,,,,,,,2,Fine,Keep,TRUE,C8w,all_sweet,su1,Ne,CT,FALSE,FALSE,4,42.85714286,57.14285714,1,42.85714286,3
266,IL200e,,2019-02-28,7 (1 small),7,2019-03-15,3,2019-03-26,n,13,4065,,,,,,,,,,2,Fine,Keep,TRUE,IL200e,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,4,42.85714286,57.14285714,1,42.85714286,3
276,Ia45-2,,2019-02-28,7 (1 small),7,2019-03-15,3,2019-03-26,n,14,32573,,,,,,,,,,2,Fine,Keep,TRUE,Ia45_2,WiDivMerged,su1,Mdw,IA,TRUE,TRUE,4,42.85714286,57.14285714,1,42.85714286,3
308,IL515a,,2019-02-28,7,7,2019-03-15,3,2019-03-26,n,14,32415,,,,,,,,,,2,Fine,Keep,TRUE,IL515a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,4,42.85714286,57.14285714,1,42.85714286,3
317,IL369b,,2019-02-28,7 (2 small),7,2019-03-15,3,2019-03-26,n,14,32417,,,,,,,,,,2,Fine,Keep,TRUE,IL369b,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,4,42.85714286,57.14285714,1,42.85714286,3
321,Ia45-1,,2019-02-28,7,7,2019-03-15,3,2019-03-26,n,14,32572,,,,,,,,,,2,Fine,Keep,TRUE,Ia45_1,WiDivMerged,su1,Mdw,IA,TRUE,TRUE,4,42.85714286,57.14285714,1,42.85714286,3
335,EP85,,2019-02-28,7,7,2019-03-15,3,2019-03-26,n,14,31227,,,,,,,,,,2,Fine,Keep,TRUE,EP85,all_sweet,sh2,Int,SP,TRUE,TRUE,4,42.85714286,57.14285714,1,42.85714286,3
376,SD883,,2019-03-12,7,7,2019-03-26,3,2019-04-10,n,14,32370,,,,,,,,,,2,Fine,Keep,TRUE,SD883,WiDivMerged,su1,Mdw,SD,TRUE,TRUE,4,42.85714286,57.14285714,1,42.85714286,3
31,NJ159,,2019-01-29,8,8,2019-02-12,4,2019-02-21,n,13,4437,,,,,,,,,,2,Fine,Keep,TRUE,NJ159,WiDivMerged,su1,Ne,NJ,TRUE,TRUE,4,50,50,1,50,3
46,IL713a,,2019-01-29,6,6,2019-02-12,3,2019-02-21,n,13,4230,,,,,,,,,,2,Fine,Keep,TRUE,IL713a,WiDivMerged,su1,Mdw,IL,TRUE,TRUE,3,50,50,1,50,3
104,C68 su,,2019-01-29,8,8,2019-02-12,4,2019-02-21,n,13,3968,,,,,,,,,,2,Fine,Keep,TRUE,C68,all_sweet,su1,Ne,CT,FALSE,FALSE,4,50,50,1,50,3
176,HotevillaAzwhitesweetcorn_1,Hotevilla Az. white sweet corn-1,2019-02-14,8,8,2019-02-27,4,2019-03-08,n,44,31223,,,,,,,,,,2,Fine,Keep,TRUE,HotevillaAzwhitesweetcorn_1,all_sweet,su1,,,TRUE,FALSE,4,50,50,1,50,3
195,NJ116Wb,NJ 116 Wb,2019-02-14,8,8,2019-02-27,4,2019-03-08,n,0,6054,,,,,,,,,,2,Fine,Keep,TRUE,Ames22046,all_sweet,NA,Ne,NJ,TRUE,FALSE,4,50,50,1,50,3
237,Ia59,,2019-02-28,8,8,2019-03-15,4,2019-03-26,n,13,3866,,,,,,,,,,2,Fine,Keep,TRUE,Ia59,all_sweet,su1,Mdw,IA,TRUE,TRUE,4,50,50,1,50,3
